shots_on_goal_local,shots_on_goal_away,shots_off_goal_local,shots_off_goal_away,total_shots_local,total_shots_away,blocked_shots_local,blocked_shots_away,shots_insidebox_local,shots_insidebox_away,shots_outsidebox_local,shots_outsidebox_away,fouls_local,fouls_away,corners_local,corners_away,offsides_local,offsides_away,ball_possession_local,ball_possession_away,yellow_cards_local,yellow_cards_away,red_cards_local,red_cards_away,goalkeeper_saves_local,goalkeeper_saves_away,pass_precision_local,pass_precision_away,fixture_id_2
3.0,5.0,4.0,7.0,8.0,17.0,1.0,5.0,6.0,9.0,2.0,8.0,13.0,12.0,2.0,1.0,,,50%,50%,3,4,1.0,,4.0,2.0,409.0,413.0,214830
8.0,3.0,7.0,1.0,19.0,6.0,4.0,2.0,14.0,5.0,5.0,1.0,11.0,17.0,8.0,5.0,1.0,5.0,50%,50%,5,2,,,1.0,8.0,338.0,338.0,214831
4.0,4.0,3.0,10.0,9.0,16.0,2.0,2.0,4.0,11.0,5.0,5.0,13.0,19.0,1.0,9.0,3.0,2.0,32%,68%,2,3,,,2.0,1.0,231.0,461.0,214832
3.0,3.0,4.0,1.0,11.0,9.0,4.0,5.0,7.0,7.0,4.0,2.0,15.0,25.0,7.0,4.0,3.0,2.0,63%,37%,2,3,,,2.0,3.0,442.0,266.0,214833
7.0,4.0,8.0,8.0,16.0,14.0,1.0,2.0,11.0,7.0,5.0,7.0,12.0,16.0,,4.0,2.0,,52%,48%,,2,,,2.0,5.0,537.0,480.0,214834
3.0,2.0,5.0,2.0,11.0,5.0,3.0,1.0,10.0,3.0,1.0,2.0,13.0,13.0,5.0,1.0,5.0,2.0,71%,29%,3,2,,1.0,2.0,,562.0,224.0,214835
5.0,,3.0,6.0,12.0,7.0,4.0,1.0,9.0,5.0,3.0,2.0,12.0,15.0,3.0,7.0,3.0,1.0,55%,45%,3,3,,,,4.0,495.0,406.0,214836
3.0,5.0,5.0,3.0,10.0,12.0,2.0,4.0,7.0,8.0,3.0,4.0,12.0,19.0,3.0,9.0,,2.0,47%,53%,3,2,,,3.0,,296.0,307.0,214837
4.0,5.0,4.0,3.0,11.0,10.0,3.0,2.0,4.0,6.0,7.0,4.0,18.0,23.0,5.0,2.0,1.0,3.0,56%,44%,3,2,,,4.0,3.0,399.0,294.0,214838
4.0,1.0,3.0,4.0,11.0,13.0,4.0,8.0,5.0,6.0,6.0,7.0,17.0,15.0,2.0,4.0,1.0,2.0,40%,60%,1,1,,,1.0,3.0,338.0,481.0,214839
4.0,3.0,6.0,3.0,10.0,8.0,,2.0,5.0,4.0,5.0,4.0,16.0,4.0,2.0,6.0,3.0,2.0,47%,53%,2,1,,,3.0,2.0,464.0,487.0,214840
5.0,8.0,4.0,3.0,12.0,11.0,3.0,,7.0,9.0,5.0,2.0,17.0,10.0,3.0,7.0,,1.0,67%,33%,4,,,,4.0,3.0,481.0,232.0,214841
7.0,3.0,5.0,5.0,15.0,10.0,3.0,2.0,7.0,5.0,8.0,5.0,15.0,14.0,3.0,7.0,1.0,3.0,33%,67%,2,2,,,2.0,3.0,237.0,468.0,214842
2.0,5.0,5.0,5.0,9.0,15.0,2.0,5.0,6.0,5.0,3.0,10.0,23.0,13.0,1.0,5.0,,1.0,47%,53%,1,5,,,5.0,,448.0,493.0,214843
5.0,4.0,6.0,6.0,13.0,15.0,2.0,5.0,9.0,7.0,4.0,8.0,22.0,11.0,5.0,6.0,1.0,1.0,35%,65%,4,5,,,3.0,2.0,219.0,383.0,214844
2.0,3.0,,2.0,5.0,7.0,3.0,2.0,4.0,3.0,1.0,4.0,23.0,14.0,2.0,5.0,2.0,,52%,48%,4,2,1.0,1.0,2.0,,379.0,337.0,214845
8.0,1.0,10.0,5.0,27.0,6.0,9.0,,21.0,2.0,6.0,4.0,12.0,7.0,7.0,2.0,5.0,3.0,56%,44%,1,1,,,1.0,5.0,400.0,318.0,214846
4.0,7.0,4.0,8.0,12.0,19.0,4.0,4.0,7.0,10.0,5.0,9.0,16.0,6.0,5.0,7.0,1.0,3.0,48%,52%,5,2,,,7.0,3.0,446.0,453.0,214847
2.0,2.0,1.0,5.0,4.0,9.0,1.0,2.0,4.0,5.0,,4.0,17.0,19.0,1.0,3.0,1.0,3.0,38%,62%,,4,,,2.0,,324.0,512.0,214848
5.0,7.0,3.0,10.0,10.0,23.0,2.0,6.0,4.0,14.0,6.0,9.0,11.0,14.0,8.0,4.0,4.0,1.0,29%,71%,3,3,,,6.0,3.0,185.0,474.0,214849
2.0,2.0,1.0,2.0,3.0,4.0,,,1.0,3.0,2.0,1.0,20.0,17.0,,3.0,1.0,2.0,34%,66%,2,2,,,2.0,2.0,286.0,528.0,214850
6.0,5.0,5.0,3.0,14.0,10.0,3.0,2.0,11.0,6.0,3.0,4.0,19.0,12.0,3.0,3.0,2.0,1.0,62%,38%,6,3,,,3.0,4.0,445.0,261.0,214851
5.0,4.0,4.0,1.0,15.0,8.0,6.0,3.0,3.0,7.0,12.0,1.0,14.0,11.0,11.0,2.0,4.0,,66%,34%,1,2,,1.0,2.0,4.0,497.0,264.0,214852
4.0,1.0,2.0,3.0,7.0,7.0,1.0,3.0,4.0,4.0,3.0,3.0,17.0,16.0,1.0,3.0,1.0,1.0,53%,47%,,1,,,1.0,2.0,435.0,375.0,214853
2.0,4.0,5.0,6.0,8.0,13.0,1.0,3.0,4.0,6.0,4.0,7.0,14.0,14.0,2.0,6.0,6.0,1.0,47%,53%,1,2,,,5.0,2.0,385.0,429.0,214854
3.0,4.0,7.0,3.0,13.0,10.0,3.0,3.0,5.0,5.0,8.0,5.0,19.0,17.0,6.0,3.0,3.0,3.0,52%,48%,2,1,,,3.0,3.0,347.0,321.0,214855
6.0,3.0,11.0,1.0,25.0,6.0,8.0,2.0,14.0,5.0,11.0,1.0,13.0,14.0,13.0,2.0,,1.0,74%,26%,2,1,,,2.0,4.0,595.0,208.0,214856
8.0,1.0,4.0,3.0,15.0,6.0,3.0,2.0,12.0,6.0,3.0,,16.0,17.0,5.0,2.0,4.0,2.0,56%,44%,3,4,,,,6.0,472.0,367.0,214857
6.0,1.0,3.0,6.0,10.0,9.0,1.0,2.0,6.0,4.0,4.0,5.0,9.0,18.0,4.0,3.0,,1.0,56%,44%,2,1,,,,1.0,454.0,357.0,214858
7.0,1.0,6.0,4.0,13.0,5.0,,,11.0,4.0,2.0,1.0,15.0,15.0,5.0,2.0,1.0,1.0,48%,52%,3,1,,,,5.0,373.0,419.0,214859
3.0,3.0,7.0,4.0,12.0,11.0,2.0,4.0,5.0,6.0,7.0,5.0,18.0,12.0,6.0,3.0,,2.0,37%,63%,3,,,,2.0,1.0,260.0,443.0,214860
1.0,6.0,2.0,9.0,5.0,20.0,2.0,5.0,3.0,11.0,2.0,9.0,13.0,13.0,3.0,6.0,5.0,4.0,45%,55%,2,4,,,4.0,,295.0,360.0,214861
1.0,6.0,2.0,9.0,3.0,15.0,,,2.0,8.0,1.0,7.0,14.0,14.0,1.0,7.0,3.0,2.0,47%,53%,2,2,,,5.0,1.0,429.0,471.0,214862
6.0,1.0,6.0,3.0,13.0,5.0,1.0,1.0,8.0,4.0,5.0,1.0,14.0,15.0,6.0,3.0,2.0,2.0,60%,40%,2,,,,,4.0,451.0,293.0,214863
2.0,1.0,4.0,1.0,10.0,3.0,4.0,1.0,5.0,1.0,5.0,2.0,15.0,15.0,4.0,,4.0,2.0,50%,50%,2,2,,,1.0,1.0,400.0,415.0,571933
8.0,7.0,10.0,2.0,25.0,10.0,7.0,1.0,10.0,6.0,15.0,4.0,14.0,18.0,6.0,3.0,2.0,1.0,68%,32%,1,5,,,5.0,7.0,512.0,237.0,571934
,2.0,1.0,12.0,4.0,19.0,3.0,5.0,4.0,7.0,,12.0,16.0,18.0,1.0,7.0,3.0,3.0,44%,56%,3,1,1.0,,2.0,,296.0,373.0,585043
3.0,2.0,3.0,1.0,12.0,4.0,6.0,1.0,7.0,2.0,5.0,2.0,22.0,18.0,4.0,1.0,2.0,6.0,51%,49%,1,2,,,1.0,3.0,373.0,362.0,585044
1.0,1.0,5.0,5.0,6.0,6.0,,,3.0,4.0,3.0,2.0,22.0,20.0,4.0,4.0,,,53%,47%,,2,,,1.0,1.0,306.0,261.0,590080
1.0,1.0,5.0,1.0,10.0,2.0,4.0,,4.0,1.0,6.0,1.0,20.0,15.0,5.0,3.0,,3.0,46%,54%,1,4,1.0,,,1.0,367.0,420.0,590081
4.0,2.0,5.0,5.0,15.0,10.0,6.0,3.0,6.0,5.0,9.0,5.0,16.0,12.0,2.0,3.0,1.0,3.0,51%,49%,2,4,,1.0,1.0,3.0,475.0,451.0,27519
4.0,8.0,5.0,2.0,12.0,13.0,3.0,3.0,4.0,6.0,8.0,7.0,14.0,16.0,2.0,1.0,2.0,3.0,53%,47%,1,,,,7.0,3.0,497.0,428.0,27520
4.0,1.0,8.0,2.0,14.0,3.0,2.0,,11.0,1.0,3.0,2.0,11.0,16.0,5.0,1.0,2.0,2.0,56%,44%,4,4,,,1.0,3.0,390.0,304.0,27521
4.0,6.0,4.0,4.0,9.0,15.0,1.0,5.0,6.0,10.0,3.0,5.0,12.0,11.0,5.0,7.0,1.0,2.0,43%,57%,1,2,,,3.0,1.0,358.0,495.0,27522
1.0,2.0,5.0,4.0,8.0,6.0,2.0,,5.0,3.0,3.0,3.0,17.0,20.0,7.0,4.0,3.0,4.0,50%,50%,2,3,,,2.0,1.0,354.0,342.0,27523
4.0,6.0,3.0,8.0,9.0,18.0,2.0,4.0,7.0,10.0,2.0,8.0,20.0,12.0,6.0,3.0,2.0,1.0,46%,54%,5,2,,,5.0,3.0,283.0,334.0,27524
3.0,1.0,2.0,3.0,5.0,4.0,,,4.0,2.0,1.0,2.0,10.0,13.0,1.0,,3.0,1.0,45%,55%,2,2,,,1.0,1.0,468.0,580.0,27525
3.0,4.0,2.0,8.0,7.0,13.0,2.0,1.0,4.0,9.0,3.0,4.0,13.0,17.0,4.0,7.0,1.0,1.0,57%,43%,1,2,,,2.0,2.0,451.0,312.0,27526
6.0,3.0,4.0,4.0,13.0,9.0,3.0,2.0,7.0,5.0,6.0,4.0,16.0,14.0,9.0,1.0,1.0,,42%,58%,5,1,,,3.0,4.0,334.0,443.0,27527
7.0,1.0,6.0,1.0,18.0,3.0,5.0,1.0,8.0,3.0,10.0,,20.0,12.0,9.0,1.0,6.0,1.0,60%,40%,1,1,,,,6.0,451.0,299.0,27528
4.0,3.0,8.0,3.0,15.0,7.0,3.0,1.0,12.0,3.0,3.0,4.0,19.0,14.0,5.0,3.0,1.0,2.0,45%,55%,3,1,,,2.0,2.0,405.0,477.0,27529
1.0,2.0,2.0,9.0,7.0,11.0,4.0,,2.0,5.0,5.0,6.0,16.0,17.0,4.0,4.0,1.0,,39%,61%,5,4,1.0,,1.0,,259.0,397.0,27530
8.0,6.0,9.0,4.0,20.0,10.0,3.0,,14.0,6.0,6.0,4.0,11.0,17.0,6.0,3.0,2.0,2.0,63%,37%,3,4,,,2.0,6.0,497.0,288.0,27531
3.0,1.0,4.0,6.0,12.0,9.0,5.0,2.0,6.0,7.0,6.0,2.0,19.0,17.0,10.0,3.0,1.0,1.0,45%,55%,4,2,,,,3.0,334.0,436.0,27532
4.0,2.0,5.0,5.0,11.0,8.0,2.0,1.0,7.0,6.0,4.0,2.0,18.0,13.0,3.0,3.0,6.0,1.0,43%,57%,3,3,,,1.0,3.0,341.0,452.0,27533
7.0,2.0,5.0,8.0,14.0,13.0,2.0,3.0,10.0,6.0,4.0,7.0,10.0,14.0,4.0,5.0,2.0,4.0,48%,52%,,2,,,2.0,6.0,430.0,454.0,27534
5.0,2.0,3.0,2.0,10.0,6.0,2.0,2.0,5.0,2.0,5.0,4.0,11.0,18.0,4.0,1.0,2.0,1.0,40%,60%,1,3,1.0,1.0,2.0,4.0,358.0,538.0,27535
4.0,1.0,4.0,3.0,15.0,5.0,7.0,1.0,10.0,4.0,5.0,1.0,18.0,12.0,12.0,2.0,1.0,,72%,28%,4,3,,1.0,,2.0,546.0,215.0,27536
4.0,2.0,6.0,4.0,15.0,10.0,5.0,4.0,8.0,7.0,7.0,3.0,15.0,25.0,7.0,4.0,3.0,1.0,44%,56%,3,3,1.0,,1.0,3.0,313.0,383.0,27537
5.0,7.0,5.0,2.0,14.0,12.0,4.0,3.0,7.0,8.0,7.0,4.0,13.0,14.0,6.0,4.0,1.0,6.0,65%,35%,2,1,,,6.0,5.0,603.0,313.0,27538
1.0,4.0,4.0,2.0,7.0,10.0,2.0,4.0,5.0,8.0,2.0,2.0,12.0,19.0,2.0,6.0,,2.0,48%,52%,1,3,,,4.0,1.0,371.0,387.0,27539
5.0,1.0,1.0,2.0,7.0,3.0,1.0,,3.0,1.0,4.0,2.0,22.0,15.0,2.0,3.0,3.0,4.0,51%,49%,3,1,,,1.0,3.0,448.0,414.0,27540
6.0,7.0,3.0,4.0,9.0,14.0,,3.0,7.0,9.0,2.0,5.0,14.0,21.0,2.0,10.0,3.0,4.0,50%,50%,5,4,,,6.0,3.0,426.0,389.0,27541
6.0,2.0,2.0,5.0,12.0,9.0,4.0,2.0,7.0,6.0,5.0,3.0,21.0,15.0,3.0,4.0,3.0,1.0,56%,44%,3,2,,,2.0,5.0,440.0,342.0,27542
3.0,4.0,3.0,3.0,10.0,7.0,4.0,,3.0,3.0,7.0,4.0,14.0,18.0,9.0,2.0,3.0,4.0,58%,42%,1,2,,,3.0,4.0,431.0,307.0,27543
3.0,2.0,6.0,5.0,13.0,8.0,4.0,1.0,7.0,3.0,6.0,5.0,11.0,18.0,5.0,2.0,2.0,3.0,49%,51%,1,2,,,1.0,2.0,339.0,363.0,27544
2.0,3.0,4.0,3.0,8.0,6.0,2.0,,5.0,5.0,3.0,1.0,19.0,14.0,6.0,1.0,3.0,1.0,55%,45%,3,4,,,1.0,2.0,450.0,372.0,27545
2.0,7.0,2.0,9.0,9.0,23.0,5.0,7.0,7.0,12.0,2.0,11.0,20.0,17.0,5.0,12.0,3.0,6.0,48%,52%,5,2,1.0,,6.0,2.0,338.0,365.0,27546
4.0,2.0,5.0,4.0,10.0,7.0,1.0,1.0,7.0,3.0,3.0,4.0,17.0,10.0,8.0,3.0,2.0,4.0,49%,51%,2,1,,,2.0,2.0,399.0,417.0,27547
6.0,2.0,8.0,3.0,15.0,9.0,1.0,4.0,11.0,5.0,4.0,4.0,24.0,13.0,6.0,5.0,5.0,2.0,55%,45%,4,4,,,,3.0,330.0,273.0,27548
6.0,2.0,2.0,3.0,10.0,6.0,2.0,1.0,8.0,4.0,2.0,2.0,14.0,21.0,8.0,4.0,2.0,2.0,68%,32%,,4,,1.0,2.0,4.0,518.0,239.0,27549
3.0,3.0,7.0,4.0,16.0,8.0,6.0,1.0,5.0,5.0,11.0,3.0,20.0,10.0,11.0,3.0,2.0,2.0,47%,53%,3,2,,,1.0,1.0,390.0,458.0,27550
11.0,5.0,2.0,8.0,15.0,14.0,2.0,1.0,10.0,12.0,5.0,2.0,12.0,17.0,4.0,4.0,3.0,6.0,43%,57%,1,3,,,4.0,9.0,349.0,462.0,27551
3.0,1.0,4.0,4.0,8.0,9.0,1.0,4.0,5.0,7.0,3.0,2.0,18.0,13.0,5.0,5.0,1.0,4.0,44%,56%,2,2,,,1.0,4.0,351.0,455.0,27552
6.0,,7.0,,17.0,,4.0,,11.0,,6.0,,11.0,18.0,8.0,1.0,,2.0,60%,40%,2,5,,1.0,,5.0,588.0,388.0,27553
5.0,5.0,9.0,6.0,19.0,12.0,5.0,1.0,12.0,6.0,7.0,6.0,15.0,20.0,7.0,4.0,1.0,3.0,55%,45%,3,4,,,2.0,4.0,344.0,286.0,27554
5.0,,5.0,2.0,16.0,2.0,6.0,,5.0,1.0,11.0,1.0,15.0,14.0,5.0,2.0,5.0,1.0,76%,24%,5,2,,1.0,,2.0,745.0,222.0,27555
4.0,,4.0,6.0,10.0,8.0,2.0,2.0,6.0,6.0,4.0,2.0,21.0,17.0,3.0,,2.0,1.0,49%,51%,4,3,,,,3.0,334.0,349.0,27556
7.0,1.0,7.0,6.0,16.0,9.0,2.0,2.0,12.0,4.0,4.0,5.0,13.0,12.0,8.0,5.0,2.0,,61%,39%,3,1,,,1.0,6.0,417.0,255.0,27557
2.0,3.0,1.0,9.0,5.0,15.0,2.0,3.0,1.0,9.0,4.0,6.0,14.0,10.0,7.0,1.0,1.0,1.0,49%,51%,1,2,,,3.0,1.0,422.0,425.0,27558
5.0,2.0,5.0,6.0,13.0,9.0,3.0,1.0,9.0,7.0,4.0,2.0,15.0,21.0,4.0,5.0,3.0,1.0,54%,46%,1,1,,,1.0,2.0,368.0,307.0,27559
3.0,5.0,9.0,5.0,16.0,17.0,4.0,7.0,8.0,9.0,8.0,8.0,15.0,12.0,10.0,6.0,3.0,2.0,58%,42%,1,2,,,1.0,3.0,443.0,325.0,27560
7.0,1.0,10.0,4.0,17.0,8.0,,3.0,9.0,1.0,8.0,7.0,18.0,16.0,6.0,11.0,2.0,1.0,46%,54%,3,2,,,1.0,6.0,378.0,424.0,27561
5.0,4.0,7.0,5.0,15.0,11.0,3.0,2.0,11.0,6.0,4.0,5.0,18.0,10.0,3.0,,1.0,1.0,63%,37%,2,2,,,2.0,4.0,562.0,320.0,27562
2.0,7.0,2.0,11.0,4.0,25.0,,7.0,4.0,16.0,,9.0,13.0,10.0,1.0,10.0,2.0,1.0,49%,51%,3,1,,,6.0,1.0,413.0,406.0,27563
3.0,2.0,7.0,1.0,17.0,7.0,7.0,4.0,11.0,3.0,6.0,4.0,20.0,17.0,9.0,5.0,1.0,1.0,48%,52%,6,5,,1.0,2.0,2.0,346.0,382.0,27564
4.0,4.0,2.0,2.0,8.0,9.0,2.0,3.0,5.0,5.0,3.0,4.0,16.0,10.0,2.0,4.0,5.0,2.0,36%,64%,,,,,3.0,3.0,308.0,540.0,27565
6.0,3.0,9.0,2.0,28.0,5.0,13.0,,14.0,3.0,14.0,2.0,13.0,17.0,9.0,5.0,,1.0,55%,45%,1,5,,1.0,2.0,4.0,360.0,307.0,27566
6.0,6.0,10.0,2.0,21.0,9.0,5.0,1.0,15.0,8.0,6.0,1.0,18.0,23.0,12.0,1.0,,3.0,63%,37%,6,5,,1.0,4.0,3.0,387.0,232.0,27567
3.0,3.0,4.0,7.0,10.0,12.0,3.0,2.0,7.0,9.0,3.0,3.0,17.0,8.0,3.0,7.0,5.0,2.0,38%,62%,3,1,,,3.0,2.0,248.0,413.0,27568
7.0,5.0,2.0,2.0,14.0,12.0,5.0,5.0,10.0,6.0,4.0,6.0,13.0,11.0,10.0,,2.0,2.0,47%,53%,1,4,,,5.0,4.0,429.0,487.0,27569
2.0,6.0,4.0,2.0,9.0,8.0,3.0,,6.0,5.0,3.0,3.0,17.0,18.0,6.0,2.0,2.0,2.0,57%,43%,2,3,,,4.0,2.0,422.0,332.0,27570
6.0,2.0,7.0,3.0,15.0,6.0,2.0,1.0,12.0,4.0,3.0,2.0,18.0,23.0,4.0,3.0,2.0,2.0,33%,67%,4,2,,,2.0,3.0,251.0,519.0,27571
4.0,6.0,5.0,6.0,13.0,17.0,4.0,5.0,8.0,7.0,5.0,10.0,17.0,15.0,6.0,6.0,3.0,1.0,49%,51%,7,5,,1.0,5.0,4.0,411.0,437.0,27572
9.0,3.0,5.0,4.0,18.0,8.0,4.0,1.0,10.0,4.0,8.0,4.0,14.0,6.0,8.0,3.0,2.0,,51%,49%,,3,,,2.0,9.0,394.0,393.0,27573
1.0,4.0,9.0,2.0,13.0,7.0,3.0,1.0,7.0,4.0,6.0,3.0,10.0,23.0,9.0,1.0,1.0,1.0,51%,49%,2,6,,,2.0,1.0,450.0,440.0,27574
8.0,3.0,6.0,2.0,16.0,5.0,2.0,,10.0,1.0,6.0,4.0,17.0,18.0,7.0,2.0,1.0,2.0,59%,41%,6,4,,1.0,2.0,7.0,416.0,307.0,27575
8.0,4.0,3.0,3.0,14.0,8.0,3.0,1.0,10.0,3.0,4.0,5.0,14.0,12.0,6.0,2.0,4.0,3.0,53%,47%,1,,,,3.0,6.0,529.0,455.0,27576
2.0,4.0,7.0,8.0,10.0,14.0,1.0,2.0,3.0,6.0,7.0,8.0,14.0,22.0,3.0,1.0,1.0,3.0,59%,41%,2,2,,,4.0,1.0,451.0,301.0,27577
4.0,11.0,6.0,8.0,17.0,19.0,7.0,,8.0,12.0,9.0,7.0,19.0,18.0,5.0,1.0,2.0,2.0,47%,53%,3,2,1.0,,8.0,3.0,406.0,466.0,27578
6.0,7.0,9.0,8.0,15.0,17.0,,2.0,10.0,8.0,5.0,9.0,15.0,18.0,7.0,4.0,1.0,7.0,63%,37%,2,2,,,5.0,6.0,410.0,238.0,27579
4.0,,7.0,4.0,17.0,5.0,6.0,1.0,10.0,4.0,7.0,1.0,16.0,16.0,6.0,2.0,,2.0,51%,49%,2,4,,,,3.0,371.0,365.0,27580
4.0,2.0,4.0,12.0,8.0,20.0,,6.0,4.0,12.0,4.0,8.0,11.0,13.0,1.0,9.0,2.0,4.0,53%,47%,1,2,,,1.0,4.0,446.0,363.0,27581
3.0,7.0,2.0,9.0,10.0,19.0,5.0,3.0,4.0,14.0,6.0,5.0,13.0,17.0,5.0,7.0,2.0,2.0,66%,34%,3,3,1.0,,3.0,2.0,511.0,242.0,27582
4.0,4.0,2.0,6.0,7.0,13.0,1.0,3.0,6.0,6.0,1.0,7.0,10.0,13.0,2.0,4.0,2.0,,61%,39%,2,4,,,3.0,3.0,469.0,288.0,27583
3.0,8.0,8.0,2.0,13.0,10.0,2.0,,9.0,7.0,4.0,3.0,13.0,15.0,7.0,2.0,,2.0,68%,32%,2,4,,,6.0,3.0,507.0,238.0,27584
4.0,3.0,4.0,8.0,10.0,16.0,2.0,5.0,7.0,8.0,3.0,8.0,11.0,16.0,7.0,2.0,6.0,2.0,35%,65%,1,4,,,1.0,3.0,307.0,572.0,27585
5.0,2.0,2.0,9.0,11.0,14.0,4.0,3.0,7.0,6.0,4.0,8.0,16.0,18.0,1.0,8.0,4.0,1.0,41%,59%,5,4,1.0,,2.0,3.0,300.0,404.0,27586
8.0,,8.0,4.0,18.0,8.0,2.0,4.0,8.0,4.0,10.0,4.0,23.0,7.0,4.0,3.0,1.0,,51%,49%,2,1,,,,6.0,423.0,397.0,27587
6.0,4.0,8.0,6.0,17.0,14.0,3.0,4.0,6.0,8.0,11.0,6.0,22.0,18.0,4.0,6.0,2.0,1.0,40%,60%,2,3,,1.0,2.0,4.0,275.0,415.0,27588
2.0,5.0,7.0,4.0,14.0,10.0,5.0,1.0,10.0,8.0,4.0,2.0,14.0,19.0,7.0,1.0,,2.0,37%,63%,1,3,,,2.0,1.0,261.0,444.0,27589
8.0,2.0,7.0,2.0,17.0,6.0,2.0,2.0,13.0,2.0,4.0,4.0,16.0,21.0,4.0,2.0,3.0,1.0,54%,46%,1,4,,,,4.0,404.0,343.0,27590
2.0,2.0,2.0,4.0,9.0,10.0,5.0,4.0,6.0,4.0,3.0,6.0,9.0,14.0,3.0,6.0,2.0,2.0,46%,54%,3,2,,,1.0,,376.0,433.0,27591
3.0,3.0,8.0,7.0,18.0,12.0,7.0,2.0,6.0,5.0,12.0,7.0,19.0,10.0,5.0,4.0,,3.0,37%,63%,3,3,,,3.0,2.0,358.0,613.0,27592
3.0,5.0,8.0,6.0,12.0,11.0,1.0,,6.0,7.0,6.0,4.0,15.0,17.0,9.0,7.0,2.0,2.0,55%,45%,2,2,,,5.0,3.0,405.0,340.0,27593
5.0,2.0,2.0,8.0,9.0,14.0,2.0,4.0,8.0,7.0,1.0,7.0,27.0,18.0,6.0,3.0,5.0,1.0,45%,55%,1,5,,,2.0,4.0,331.0,399.0,27594
3.0,3.0,4.0,1.0,7.0,6.0,,2.0,6.0,1.0,1.0,5.0,16.0,15.0,7.0,3.0,1.0,,48%,52%,2,3,,,3.0,2.0,428.0,458.0,27595
4.0,3.0,6.0,3.0,14.0,7.0,4.0,1.0,11.0,5.0,3.0,2.0,14.0,13.0,11.0,2.0,3.0,2.0,50%,50%,2,4,,,2.0,2.0,360.0,387.0,27596
5.0,2.0,5.0,5.0,14.0,11.0,4.0,4.0,10.0,3.0,4.0,8.0,22.0,18.0,6.0,4.0,5.0,,39%,61%,7,2,1.0,1.0,2.0,4.0,254.0,402.0,27597
2.0,3.0,6.0,2.0,8.0,5.0,,,5.0,3.0,3.0,2.0,9.0,19.0,6.0,3.0,1.0,1.0,55%,45%,1,5,1.0,,2.0,1.0,466.0,372.0,27598
5.0,2.0,5.0,2.0,17.0,9.0,7.0,5.0,10.0,3.0,7.0,6.0,11.0,14.0,7.0,5.0,2.0,3.0,44%,56%,3,1,,,1.0,3.0,331.0,411.0,27599
3.0,2.0,4.0,2.0,11.0,4.0,4.0,,5.0,1.0,6.0,3.0,14.0,16.0,7.0,3.0,4.0,3.0,62%,38%,1,4,,,2.0,3.0,557.0,340.0,27600
4.0,5.0,2.0,5.0,9.0,13.0,3.0,3.0,6.0,5.0,3.0,8.0,21.0,13.0,5.0,8.0,2.0,,49%,51%,,,,,6.0,,457.0,453.0,27601
3.0,6.0,8.0,5.0,12.0,14.0,1.0,3.0,6.0,7.0,6.0,7.0,15.0,18.0,9.0,4.0,1.0,4.0,56%,44%,1,3,,,6.0,2.0,378.0,301.0,27602
3.0,1.0,6.0,2.0,13.0,4.0,4.0,1.0,7.0,3.0,6.0,1.0,18.0,15.0,7.0,3.0,1.0,6.0,48%,52%,2,1,,,1.0,3.0,375.0,402.0,27603
3.0,4.0,6.0,5.0,9.0,14.0,,5.0,5.0,10.0,4.0,4.0,16.0,17.0,2.0,6.0,5.0,1.0,43%,57%,7,3,,,2.0,1.0,376.0,465.0,27604
3.0,6.0,2.0,8.0,10.0,16.0,5.0,2.0,8.0,10.0,2.0,6.0,12.0,15.0,3.0,,,1.0,58%,42%,2,3,,,4.0,2.0,490.0,353.0,27605
3.0,4.0,3.0,9.0,9.0,14.0,3.0,1.0,2.0,9.0,7.0,5.0,14.0,6.0,5.0,8.0,4.0,3.0,57%,43%,5,1,,,2.0,2.0,522.0,357.0,27606
7.0,1.0,5.0,4.0,18.0,6.0,6.0,1.0,11.0,3.0,7.0,3.0,17.0,14.0,4.0,1.0,2.0,8.0,37%,63%,1,3,,,1.0,5.0,290.0,488.0,27607
9.0,1.0,9.0,5.0,19.0,6.0,1.0,,13.0,4.0,6.0,2.0,5.0,9.0,3.0,2.0,1.0,1.0,60%,40%,1,2,,,1.0,5.0,683.0,455.0,27608
3.0,2.0,3.0,7.0,9.0,11.0,3.0,2.0,3.0,9.0,6.0,2.0,21.0,16.0,3.0,4.0,6.0,1.0,48%,52%,7,7,,,1.0,1.0,358.0,380.0,27609
2.0,5.0,6.0,3.0,11.0,9.0,3.0,1.0,4.0,6.0,7.0,3.0,17.0,14.0,6.0,1.0,,2.0,51%,49%,5,2,1.0,,2.0,2.0,428.0,414.0,27610
2.0,4.0,7.0,7.0,10.0,13.0,1.0,2.0,5.0,6.0,5.0,7.0,14.0,9.0,8.0,3.0,1.0,,50%,50%,2,4,,,4.0,1.0,419.0,425.0,27611
5.0,2.0,7.0,6.0,17.0,9.0,5.0,1.0,11.0,6.0,6.0,3.0,25.0,12.0,8.0,3.0,1.0,2.0,53%,47%,4,1,,,1.0,3.0,454.0,393.0,27612
4.0,1.0,8.0,4.0,15.0,6.0,3.0,1.0,9.0,2.0,6.0,4.0,15.0,12.0,9.0,4.0,3.0,1.0,53%,47%,2,2,,,1.0,3.0,415.0,367.0,27613
4.0,2.0,9.0,4.0,15.0,9.0,2.0,3.0,8.0,4.0,7.0,5.0,15.0,24.0,6.0,2.0,3.0,6.0,64%,36%,1,1,,,1.0,1.0,442.0,244.0,27614
